No,開始時間,終了時間,長さ(分),概要,信頼度,YouTubeリンク
1,0:00,10:00,10,配信開始・挨拶 | 色紙企画・リスナー名前書き,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=0
2,10:00,20:00,10,記念話・デビュー半年 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=600
3,20:00,30:00,10,記念話・デビュー半年 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=1200
4,30:00,40:00,10,音楽・BGM話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=1800
5,40:00,50:00,10,音楽・BGM話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=2400
6,50:00,1:00:00,10,告知・イベント | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=3000
7,1:00:00,1:10:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=3600
8,1:10:00,1:20:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=4200
9,1:20:00,1:30:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=4800
10,1:30:00,1:40:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=5400
11,1:40:00,1:50:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=6000
12,1:50:00,2:00:00,10,日常・最近の話 | 色紙企画,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=6600
13,2:00:00,2:10:00,10,色紙企画 | 日常・最近の話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=7200
14,2:10:00,2:20:00,10,長時間配信・疲労話 | 寝落ち・睡眠話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=7800
15,2:20:00,2:30:00,10,感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=8400
16,2:30:00,2:40:00,10,日常・最近の話 | リスナー交流,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=9000
17,2:40:00,2:50:00,10,音楽・BGM話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=9600
18,2:50:00,3:00:00,10,音楽・BGM話 | 長時間配信の疲労話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=10200
19,3:00:00,3:10:00,10,色紙企画・リスナー名前書き | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=10800
20,3:10:00,3:20:00,10,色紙企画・リスナー名前書き | BGM・音楽切り替え,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=11400
21,3:20:00,3:30:00,10,色紙企画・リスナー名前書き | 音楽・BGM話,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=12000
22,3:30:00,3:40:00,10,音楽・BGM話 | 感謝・お礼,0.80,https://www.youtube.com/watch?v=pNIpCr03_nQ&t=12600
